run,baseline_acc,train_acc,val_acc,test_acc,test_f1,test_auroc,n_folds,feature_dim,probe,split,geom,scaler,clip,kbest,balance
01_baseline,0.7019230769230769,0.9002079002079002,0.7211538461538461,0.7403846153846154,0.8280254777070064,0.7611577551922227,1,896,mlp,single,0,standard,0,0,1
02_midlayer_last,0.7019230769230769,0.7006237006237006,0.7019230769230769,0.7019230769230769,0.8248587570621468,0.6226248342907644,1,896,mlp,single,0,standard,0,0,1
03_midlayer_mean,0.7019230769230769,0.9459459459459459,0.7115384615384616,0.6826923076923077,0.8070175438596491,0.5939019001325674,1,896,mlp,single,0,standard,0,0,1
04_multilayer_fusion,0.7019230769230769,0.7006237006237006,0.7019230769230769,0.7019230769230769,0.8248587570621468,0.5541316836058329,1,5376,mlp,single,0,standard,0,0,1
05_plus_geometric,0.7019230769230769,0.8378378378378378,0.7115384615384616,0.6826923076923077,0.8092485549132948,0.5514803358373841,1,5475,mlp,single,1,standard,0,0,1
06_linear_probe,0.7019230769230769,0.7193347193347194,0.7211538461538461,0.6826923076923077,0.8114285714285714,0.5665046398585948,1,5475,logreg,single,1,standard,0,0,1
07_pca_acc_threshold,0.7019230769230769,0.7962577962577962,0.7307692307692307,0.6826923076923077,0.8047337278106509,0.6363234644277507,1,5475,logreg_pca,single,1,standard,0,0,1
08_bagged_ensemble,0.7019230769230769,0.7567567567567568,0.7403846153846154,0.7019230769230769,0.8228571428571428,0.6129032258064516,1,5475,bag,single,1,standard,0,0,1
09_groupkfold,0.7010197364165158,0.7943249407904445,0.7229954121611685,0.6778837672483403,0.7920528417731257,0.6884447178418764,5,5475,logreg_pca,groupkfold,1,standard,0,0,1
10_full_combo,0.7010197364165158,0.8465983103751749,0.7186944609566375,0.6779464781078977,0.7870585097117948,0.6876531873750255,5,5475,bag,groupkfold,1,standard,0,0,1
11_baseline_gkf,0.7010197364165158,0.9308002999369307,0.7414546161052437,0.705441460858606,0.8022913593534234,0.714433401283571,5,896,mlp,groupkfold,0,standard,0,0,1
12_lastlayer_logregcv,0.7010197364165158,0.7898975395475518,0.7511602271567137,0.7054728923937968,0.8019755407236502,0.6867767191110792,5,896,logreg_cv,groupkfold,0,robust,5,0,0
13_layer14_robust_logregcv,0.7010197364165158,0.7730165485479297,0.7300618802808382,0.7111862778897795,0.8015443648744078,0.7052264060011735,5,896,logreg_cv,groupkfold,0,robust,5,0,0
14_layer22_meanlast_logregcv,0.7010197364165158,0.7942287088417597,0.7158588698333253,0.679342860208818,0.7880517518126972,0.6726612545948729,5,1792,logreg_cv,groupkfold,0,robust,5,0,0
15_hgb_dense,0.7010197364165158,0.8592778047332723,0.7116083431115181,0.6678429519158395,0.7645989034480543,0.6495815971598597,5,7168,hgb,groupkfold,0,standard,0,0,0
16_hgb_dense_geom,0.7010197364165158,0.9064712428740791,0.7142057457089207,0.6765809186988714,0.7693650514780592,0.6526701899014572,5,7267,hgb,groupkfold,1,standard,0,0,0
17_mlp_long_robust,0.7010197364165158,0.7810921786706521,0.7089465330806971,0.6621084091152974,0.7616912346646393,0.628735990876109,5,1792,mlp_reg,groupkfold,0,robust,5,0,0
18_kbest_robust_logregcv,0.7010197364165158,0.7578444008294619,0.7369545673080167,0.6924600846139972,0.7874150252756056,0.687980815283116,5,10851,logreg_cv,groupkfold,1,robust,5,300,0
19_massmean_robust,0.7010197364165158,0.7297253817113775,0.7446570511666012,0.6735042052045447,0.7790005624342773,0.6507588275440928,5,7168,massmean,groupkfold,0,robust,5,0,1
20_bag_robust_kbest,0.7010197364165158,0.8415406446839663,0.7253153267817621,0.6923450893363381,0.7926471373894529,0.6980721739286613,5,7168,bag,groupkfold,0,robust,5,500,0
21_layer10_logregcv,0.7010197364165158,0.7923731255215938,0.7375316338705826,0.6996233543155954,0.8036399621087549,0.6990535609516625,5,896,logreg_cv,groupkfold,0,robust,5,0,0
22_layer12_logregcv,0.7010197364165158,0.7748400510019005,0.7303083849826871,0.6938572277690384,0.7871812088974922,0.7078281218195098,5,896,logreg_cv,groupkfold,0,robust,5,0,0
23_layer16_logregcv,0.7010197364165158,0.7795016111387837,0.7629758981766437,0.6996760953661697,0.790626659430288,0.7056885125184095,5,896,logreg_cv,groupkfold,0,robust,5,0,0
24_layer18_logregcv,0.7010197364165158,0.7772660629949819,0.7489440194204378,0.6881022887180575,0.7844511480816917,0.701062807572111,5,896,logreg_cv,groupkfold,0,robust,5,0,0
25_layer20_logregcv,0.7010197364165158,0.7624239002172474,0.7485824742847609,0.7112805724953518,0.8090865877549401,0.6958093112779434,5,896,logreg_cv,groupkfold,0,robust,5,0,0
26_layer16_meanlast_logregcv,0.7010197364165158,0.8171306832251519,0.7654752606644838,0.7083091888913498,0.8000613520987964,0.7079053516050624,5,1792,logreg_cv,groupkfold,0,robust,5,0,0
27_layer12_mean_logregcv,0.7010197364165158,0.8273397843559828,0.7182601922116028,0.6765278732266488,0.7827388764637465,0.6780433923632314,5,896,logreg_cv,groupkfold,0,robust,5,0,0
28_mlp_ens11_layer24,0.7010197364165158,0.9325225719178235,0.7370442912416398,0.7141061381298008,0.8104595175729985,0.7148736559622592,5,896,mlp,groupkfold,0,standard,0,0,1
29_mlp_ens11_layer14_robust,0.7010197364165158,0.8988503961779688,0.713855534122754,0.722738622811684,0.8263276921830401,0.6833302650957289,5,896,mlp,groupkfold,0,robust,5,0,1
